vintage_id,wine_id
1301573,1101362
1211574,2727
17828342,1147670
150743485,1138765
14442469,1136600
14718516,2029295
160181951,6689232
28218640,1131069
14868998,1143819
18785566,1775709
4663703,1394956
15831034,27694
23125562,1108213
17400360,2674546
151302310,2679550
14765385,1233080
14590345,1613349
14846371,1989
19312910,1152008
81065872,1194863
123535692,1501564
3671775,1822718
14486591,1131075
21556807,1368835
24794352,1130474
16876762,1222332
17442218,27664
69375316,1111644
24173545,1868918
2404817,1139544
17092317,1555890
14845109,1160218
19247117,27704
17530600,87358
18994388,80458
16022288,1134412
20542084,1141462
3944024,5274
16037814,3121
37693513,1131054
99590450,1750000
2267155,87368
2427840,1110356
24348371,1131072
14655563,1954313
144346504,4497892
17787937,1141982
14212858,1126243
120371119,1246803
6569175,23805
4025671,1460
137978549,4303596
35410595,1185299
15768337,1383412
19440751,2070803
14235444,1511671
15008081,1258043
17487334,14509
151761154,1586558
103128871,1159264
28241371,1576262
21983336,1127136
14149912,1136351
143878298,1224837
100481,83222
4301364,2189226
15058800,1223644
19109414,1179995
1562716,7071
15667162,87659
69775167,1215596
14763178,1136987
150281900,1841935
67377138,1864488
150310712,4301126
4538344,2155298
17161084,1791129
140335540,1162245
27103242,2151595
2814758,1134434
20127494,1214002
22026586,2141257
18998532,1217261
21590503,1193761
8861905,2589089
18612941,1841199
137628228,1189428
20103309,1134423
17799729,1211662
143898714,1162818
4495121,5508
1693491,1102753
17249037,1225481
14924304,5312
16803872,1147451
44854666,1162219
27649016,2245334
150740218,1764897
14698398,1211005
18878690,1478457
113212655,3976524
2315399,1574591
1461518,2929931
25049128,91041
21989567,17660
14568062,24055
144787860,4609184
154564621,5709542
33150687,3069965
1451397,1147896
1980400,1147757
22197192,1112294
144913377,2744488
35039681,1225224
1374146,1237423
18067726,1100016
15390893,1672961
2481983,1169749
1563331,5187
15101596,1714766
3630340,1175531
17696209,1379887
3384405,1672854
15949852,1521432
156715939,6234233
2458377,1188262
161606912,7528488
14511873,1150124
19389095,1481247
18034313,1519332
139875985,1621003
158407966,6353496
88345660,1130076
14768676,1128204
5035044,2321359
4096118,1916607
158311546,6680860
159489348,7009295
24870303,1251536
158637253,6769700
1298059,1174560
14550512,1152267
14837561,3119
34397440,1127572
141824930,3819107
14359051,2496908
156713704,5012386
14422059,100284
149300598,2024768
14348294,8433
16004800,1251478
128669336,2728138
156838955,1275068
20117212,1524212
154832387,1803918
14334175,1135817
24191392,1131071
23537907,1143666
26378697,13556
155028621,5361730
15170205,2042
3500343,1605242
16081083,2046
14907089,6961
151241651,1179267
28403650,3483673
1442809,3122
1364517,84393
131743995,1660562
151239743,1229226
3108734,1704526
142557460,1111527
93417574,1681175
33018007,1137403
12801459,2916125
23808660,1100458
33464613,1991749
21809183,1765015
22025624,10133
162002754,7656040
24821482,1130019
1193053,1136766
156080462,5815630
30314970,6734
3537730,76606
61076191,1774586
150683204,1223704
14643232,1128247
156014212,5760321
91828178,1414820
21894906,1676475
155983112,5818172
144289736,1178142
3870290,1670463
13630068,1156089
1205223,13389
4972791,27544
21953488,1809963
14493763,86841
35072464,1158693
3715644,1185290
146717962,4851815
3844996,1360482
15710956,1166969
27876889,1735387
4672477,2066279
1565612,7082
142188113,1671930
152552639,1167788
151177285,5087615
3025411,296
