vintage_id,wine_id,types
14263616,1446115,Red wine
14527776,2022850,Red wine
1216911,6020,Red wine
17882943,1134152,Red wine
139603905,2198238,Red wine
17612828,1180006,Red wine
15206190,13143,Red wine
14366314,2430,Red wine
14338920,835,Red wine
15008279,1131067,Red wine
14332994,1186919,Red wine
17052554,12253,Red wine
15308408,1677528,Red wine
14406531,1134730,Red wine
1488575,86877,Red wine
15214200,1635972,Red wine
15389411,1150098,Red wine
16028265,1161172,Red wine
2987234,1129620,Red wine
128357504,1216721,Red wine
16619069,80456,Red wine
1398919,90059,Red wine
23524974,2279736,Red wine
15183406,1797390,Red wine
14202791,6727,Red wine
14743983,2546,White wine
9049846,43204,Red wine
19315788,1408459,Red wine
18416950,2145084,Red wine
14309748,1191946,Red wine
16278251,1141324,Red wine
1270980,98195,Red wine
2417,1868,Red wine
21010892,1153828,Red wine
14886647,18557,Red wine
84927339,2477441,White wine
15305087,9755,Red wine
16794604,1228323,Red wine
14834297,82831,Red wine
15408165,1141563,Red wine
14423466,2312144,Red wine
1880425,94825,Red wine
15257173,1139111,Red wine
27111236,2443029,Red wine
19387652,79272,Red wine
17060115,3125433,Red wine
157716206,6506050,Red wine
15152318,1102061,Red wine
94852645,2518116,Red wine
14324847,6298,Red wine
141547962,4346772,Red wine
104921980,2225,Red wine
18066664,1100227,Red wine
14301859,4000,White wine
14380310,1263785,Red wine
22947695,1126809,Red wine
14739652,1384904,Red wine
14198052,981448,Red wine
15657777,87740,Red wine
17667853,6277,Red wine
18924813,1151294,Red wine
150926636,2050841,Red wine
87014034,83183,Red wine
95206691,1125332,Red wine
4641180,2048024,Red wine
17437963,1167736,Red wine
15243336,1137679,Red wine
87695418,6690,White wine
1752532,1148646,Red wine
10885,10251,Red wine
14395777,1153630,Red wine
7610178,2545450,Red wine
148013963,4982044,Red wine
4408542,3110,Red wine
2538980,1648269,White wine
14380116,10734,Red wine
154952789,5807441,Red wine
23114341,75982,Red wine
15534130,17969,Red wine
14650206,1208880,Red wine
14989395,2712,Red wine
23301717,11722,Red wine
18276750,2050919,Red wine
1791891,8623,Red wine
15220665,85758,Red wine
14136664,1141550,Red wine
152256019,5371050,Red wine
4162251,1763744,Red wine
17373447,68884,Red wine
154744359,5753700,Red wine
15223766,9958,Red wine
142237565,4388561,Red wine
34102100,1161798,Red wine
94234795,2015930,Red wine
14929055,5105,Red wine
14518884,1084275,Red wine
7010464,2459848,Red wine
144834747,1137144,White wine
21961308,931,Red wine
20175802,7768,Red wine
2344324,1126808,Red wine
14685535,10004,Red wine
15081271,1135142,White wine
30297784,3547172,Red wine
14177846,875,Red wine
150383400,1135110,Red wine
15011324,14377,Red wine
14201569,1208567,Red wine
14684163,1130130,Red wine
25166508,14526,Red wine
35336954,779302,Red wine
15491322,7088,Red wine
15972675,1135736,Red wine
28015662,67864,Red wine
14565299,13145,Red wine
2449881,1180688,Red wine
16269755,1720,White wine
17088626,1138073,Red wine
14422817,86246,Red wine
156467847,2586294,White wine
14784556,12128,Red wine
141116370,4314612,Red wine
17734911,79876,Red wine
1364083,16778,Red wine
156692878,6222395,Red wine
24285858,1154913,Red wine
14444450,1134419,Red wine
2863613,1186044,Red wine
29603201,1152438,Red wine
14204226,1717479,White wine
5206775,1793028,Red wine
17716697,91020,Red wine
14221158,20725,Red wine
93698,73478,Red wine
14550915,1142444,Red wine
2271680,83225,Red wine
14207586,1291873,Red wine
16497707,76784,Red wine
23449835,15818,Red wine
18972630,1157583,Red wine
14416487,2331568,White wine
18035113,1129552,Red wine
14589025,1135843,Red wine
17550894,1700690,Red wine
18075978,97622,Red wine
23409422,4029,Red wine
15074719,1145413,Red wine
24036298,2813497,Red wine
19435619,63094,Red wine
140586100,4314610,Red wine
6125349,1603722,Red wine
1178975,94966,Red wine
14392159,16226,Red wine
4651769,5174,Red wine
95663689,1133246,Red wine
29812140,45244,Red wine
152788568,3043053,Red wine
14153467,1724002,Red wine
2112625,95318,Red wine
20019572,1263840,Red wine
19144469,1148579,Red wine
1281075,9220,Red wine
14825026,1239713,Red wine
2201710,53034,Red wine
17080709,85917,Red wine
18106639,1258729,Red wine
14470856,16227,Red wine
15153029,1397898,Red wine
8269453,1557446,Red wine
16643964,86834,Red wine
14270487,1228622,Red wine
14187945,5602,White wine
1895704,1102121,Red wine
14250677,1135187,Red wine
14840071,6300,Red wine
14137254,4089,Red wine
14159022,1698,Red wine
150369445,7873,Red wine
4378730,745,Red wine
146713614,4733384,Red wine
14306776,1136902,White wine
15406726,10137,Red wine
150331856,1128171,Red wine
94288357,17656,Red wine
19639009,5954,Red wine
107467,23793,Red wine
16325445,1084272,White wine
14552989,9107,Red wine
14289106,1224522,Red wine
89464022,2979890,Red wine
5117422,98166,Red wine
15205235,2428658,Red wine
19938852,83380,Red wine
19978665,736114,Red wine
16063944,1565434,Red wine
101295346,15395,Red wine
5171018,1148721,White wine
36495327,97042,Red wine
14574579,1639819,Red wine
14750291,8406,Red wine
14779071,2028885,Red wine
2233785,1148035,Red wine
1355780,81848,Red wine
1239376,1126954,Red wine
14648881,1126813,Red wine
14823211,1207621,Red wine
14229001,1164231,Red wine
17149863,2126776,Red wine
15942370,1724275,Red wine
14352863,2274862,White wine
1502266,1145724,Red wine
14343126,14640,Red wine
23072906,86373,Red wine
2472991,5506,Red wine
30351700,45264,Red wine
15473578,3048981,Red wine
14254067,6209,Red wine
14395049,4021,Red wine
14368600,1134409,Red wine
17965681,82613,Red wine
16193118,1233860,Red wine
146174754,4301235,Red wine
14816205,2531,Red wine
14345309,12119,Red wine
15509076,24203,Red wine
15224094,1990,Red wine
150437140,5052806,Red wine
14917085,1129285,Red wine
14265045,2376360,Red wine
16095546,1736416,Red wine
2007010,1157654,Red wine
1203300,1129305,Red wine
15912426,21002,Red wine
14227985,1306104,Red wine
15731663,86878,Red wine
15204067,88830,Red wine
14266260,9768,Red wine
2064202,1125387,Red wine
14158828,1132669,Red wine
14358746,68514,Red wine
1216095,80045,Red wine
14162943,43994,Red wine
14208089,1268655,Red wine
19052139,13071,Red wine
20334331,1742205,Red wine
14294496,1135113,Red wine
6338787,2404068,Red wine
19451827,1115658,Red wine
14173294,1147949,Red wine
21261168,3313942,Red wine
18884504,5047,Sparkling wine
15251896,1788965,Red wine
128121017,4255416,Red wine
14227143,1130020,Red wine
14265111,6963,Red wine
14744535,1439,White wine
9490453,1161268,Red wine
2797692,81902,Red wine
150578226,96489,Red wine
14868905,16578,Red wine
18877772,12687,Red wine
14249145,1110344,White wine
19574438,1634394,Red wine
18621264,86362,Red wine
14174831,2354261,Red wine
2295798,779298,Red wine
90081021,1259918,Red wine
14521779,83357,Red wine
14963876,2549,Red wine
20779072,2638097,Rosé wine
14374727,779452,Red wine
15388316,4506,Red wine
14209628,71374,Red wine
93721,79265,Red wine
18502377,1197671,Red wine
19547944,80472,Red wine
17105237,97051,Red wine
150615739,1845220,Red wine
14269977,3462,Red wine
14117278,13689,Red wine
14293989,2132,White wine
14272231,1135072,Red wine
1981416,1135069,Red wine
15055016,23818,Red wine
15802313,2457025,Red wine
14923897,1675097,Red wine
14467790,1230926,Red wine
93709,3908,Red wine
14531340,1307035,Red wine
14799860,1704647,Red wine
4161182,6976,Red wine
27769722,3565573,Red wine
14516822,49644,Red wine
142002930,1137901,Red wine
14163416,1650763,Red wine
67430732,3955578,Red wine
14519410,9108,Red wine
1593173,3069,Red wine
14186198,2186,Red wine
14417670,1306,Red wine
14171002,84404,Red wine
14419445,20983,Red wine
14929568,1110343,Red wine
14152059,7773,Red wine
14312716,8619,Red wine
14156677,83358,Red wine
14205487,1135161,Red wine
14632955,1137925,Red wine
15167864,4019,Red wine
14376810,1135073,Red wine
14989610,1135311,Red wine
14130774,2425,Red wine
14692665,1135078,Red wine
14410184,1149343,Red wine
14511779,1128382,Red wine
14129365,3998,Red wine
3738790,1684223,Red wine
17036439,8622,Red wine
14809936,6304,Red wine
14391549,1263704,Red wine
14255374,1163217,Red wine
14195745,1135108,Red wine
14188835,21948,Red wine
14318334,4343,Red wine
14465494,10247,Red wine
14329752,83496,Red wine
14165383,1141363,Red wine
14425005,1133198,Red wine
14209256,1873,Red wine
14198277,66284,Red wine
14195787,1135067,Red wine
24946270,1134068,Red wine
9433454,1994112,Red wine
150770356,1133970,White wine
157301379,6359701,Red wine
2224362,1161753,Red wine
37363978,85205,Red wine
97587267,1284141,Red wine
20637259,77767,Red wine
35448929,3566701,Red wine
23869660,2151,White wine
14845786,1128346,White wine
141676355,1136314,Red wine
12519979,1148839,Red wine
16996094,13842,Red wine
148212093,4923426,Red wine
16006633,10300,Red wine
14166186,1808702,Red wine
2079483,1124237,White wine
4952859,1886805,Sparkling wine
15467178,51974,Red wine
86074489,3549654,Red wine
18599280,1274574,Red wine
14505586,1147777,White wine
4228755,1142704,White wine
15742228,1666207,Red wine
17741498,1187469,Red wine
34122326,1184431,Red wine
124404115,4254927,Rosé wine
15995374,1155636,Red wine
91197680,1188718,Red wine
19122161,1139485,White wine
142684822,4316760,Red wine
14507083,1109274,Red wine
14191013,86969,White wine
1469854,1160988,Sparkling wine
57314072,73412,Red wine
156618483,1153212,White wine
2779876,1248801,Red wine
14221515,1130517,White wine
1523412,1143614,Red wine
4955650,1741312,Red wine
14161994,4116,White wine
21351168,2310084,White wine
99646535,1135358,Red wine
19570327,2339,Red wine
28520626,1255941,Red wine
27844612,39354,Red wine
15130444,12440,Red wine
3870841,1458564,Red wine
143468350,4414303,Red wine
1208323,1129971,Red wine
4672518,2298316,White wine
6449143,1662058,Red wine
26679749,3092954,Red wine
20360344,71594,Red wine
15517982,1155480,Red wine
16383302,1130073,Red wine
1488310,3963,Sparkling wine
15700769,4905,Sparkling wine
4559145,1798796,Red wine
1280430,84777,Red wine
94200058,1152791,Red wine
150660887,1158280,White wine
14348453,1290117,Red wine
22364856,703,Red wine
7450418,1172941,Red wine
23146226,7248,White wine
43043188,1192407,Red wine
20741324,30684,Red wine
4444033,2153088,Red wine
127751160,1836910,White wine
30834938,1159325,Red wine
61125574,1162902,Red wine
21176520,1180709,White wine
99232264,24016,Red wine
4773750,1292924,Red wine
1784683,1383006,Sparkling wine
69691630,1236135,White wine
1318908,83999,Red wine
14767697,73715,White wine
15088845,1921801,Red wine
2386588,1243037,Red wine
3853971,1192794,Red wine
21346500,4284,Red wine
128691309,4233976,Red wine
142521300,1309095,Red wine
